Company,Position,Connected On,Full Name,ano,mes,mes_n,Latitude,Longitude
Mendes Capital ,Trader,2019-04-29,Tiffany Harris,2019,Abril,4,38.8980608,-77.0208009
Nansen,Analista da qualidade Sênior,2019-04-29,Joseph Brown,2019,Abril,4,44.3502432,-92.9318715
Expresso Nepomuceno S/A,Supervisor de logística,2020-05-17,Brian Booth,2020,Maio,5,-18.9332856,-48.2208793
Eviplan,Master Black Belt 3S-LSS & DFSS,2020-05-12,Martha Rasmussen,2020,Maio,5,-19.9694373,-44.2034554
Stulz Brasil Ar Condicionado Ltda.,Diretor,2020-05-14,Ashley Wyatt,2020,Maio,5,-23.4073677,-47.3827835
YouTube,Influencer,2020-05-17,Dominic Lee,2020,Maio,5,37.6279255,-122.426536
JJL Projetos e Consultoria Ltda,Estagiário de engenharia mecânica,2020-05-05,Travis Morton,2020,Maio,5,,
BM&FBOVESPA agora é B3,Engenheiro de produção,2020-05-04,Theresa Contreras,2020,Maio,5,,
InPay Soluções Financeiras,Consultor financeiro,2020-05-04,Matthew Meza,2020,Maio,5,55.68503399999999,12.5954519
Magndon,Director,2020-05-16,Kimberly Paul,2020,Maio,5,33.9908222,-117.3405933
ENGETRAF - Consultoria e Projetos LTDA,Gerente de projetos,2020-05-20,Monica Combs,2020,Maio,5,-19.9337605,-43.9271485
Delly's Food Service,Grupo Dellys - Oesa/ Baia Norte,2015-05-25,Destiny Delgado,2015,Maio,5,,
CAAR Do Brasil Consultoria Técnica Ltda.,Project Chief,2015-05-25,Betty Mason,2015,Maio,5,-19.9817414,-43.94082299999999
Escala Serviços de Engenharia,Técnico Projetista,2020-05-26,William Martinez,2020,Maio,5,-19.9622862,-43.9458209
Contabilidade Atualizada,Contadora ,2015-05-25,Katelyn Jones,2015,Maio,5,-19.9177363,-44.0799695
Servo Automação,Consultor Técnico de Vendas,2015-05-25,Marissa Anderson,2015,Maio,5,-19.893507,-43.9242844
Médicos Sem Fronteiras Brasil / Médecins Sans Frontières Brésil - MSF,Supply Chain Coordinator LATAM,2015-05-31,Ashley Phillips,2015,Maio,5,43.6450319,-79.402746
Herkenhoff & Prates,Consultora em projetos socioambientais | Monitoramento e avaliação | ,2015-05-30,George Hughes,2015,Maio,5,-19.9325726,-43.92688769999999
Valspe,Security Tecnology Fortinet - SonicWall ,2015-05-29,Nathaniel Duffy,2015,Maio,5,-19.9594572,-43.9647835
Termotécnica Para-raios,Coordenador de PCP / Estoques,2015-05-27,Kimberly Walsh,2015,Maio,5,-19.944517,-44.0074259
Elevatio,CEO,2015-05-26,Jake Case,2015,Maio,5,35.3440366,-80.85228649999999
BH CROMOS,AUXILIAR ADMINISTRATIVO E FINANCEIRO,2015-05-26,Diana Moore,2015,Maio,5,-19.969539,-44.0641711
Konica Minolta Healthcare do Brasil,International Purchaser,2015-05-26,Katelyn Benson,2015,Maio,5,-20.0631648,-43.9761908
Take Blip, Senior Smarketing Analyst,2015-05-26,Brandon Johnson,2015,Maio,5,40.2743516,-111.7281623
SMS group GmbH,Estágio em Engenharia Mecânica,2020-05-20,Heather Jones,2020,Maio,5,40.4483896,-80.0020832
Grupo SADA,Analista de TI/CFTV,2020-05-23,Jessica Wilson,2020,Maio,5,25.4430889,-99.9942245
Humana Desenvolvimento,Gerente de recursos humanos,2015-05-25,Matthew Black,2015,Maio,5,-19.6238952,-43.22385480000001
Hospital Lifecenter,Analista de Comunicação,2019-05-22,Tony Horn,2019,Maio,5,-19.9351482,-43.9245637
Eleições 2020,Candidato a Vereador em Belo Horizonte,2019-05-22,Erin Watson,2019,Maio,5,,
SoftwareONE Brasil,Sales Manager,2015-05-25,Maurice Allison,2015,Maio,5,35.7677981,-78.7273326
CL Consultoria,Consultor de novos negócios,2019-05-22,Richard Rios,2019,Maio,5,29.084822,-110.992759
Baja PUC Minas,Coordenador Cálculo Estrutural,2019-05-22,Steven Wright,2019,Maio,5,-19.9228622,-43.992595
AngloGold Ashanti Brasil,Analista de planejamento ,2019-05-22,Tyrone Morris,2019,Maio,5,39.632898,-104.8939458
Accenture,Analista de sistemas sênior,2019-05-21,Nicole Kidd,2019,Maio,5,38.9310644,-94.6706286
SBT,Repórter esportivo,2019-05-16,Jennifer Oliver,2019,Maio,5,40.7601021,-73.8306506
Cottar Engenharia e Serviços,Analista de Planejamento de Manutenção,2019-05-10,Sara Yates,2019,Maio,5,-19.9111919,-43.9799367
ESAB South America,Customer Support Technician,2019-05-09,Gabrielle Gomez,2019,Maio,5,-8.783195,-55.491477
Midhaz,Cofounder & CMO,2019-05-07,Nicholas Bishop,2019,Maio,5,-19.438163,-42.551012
Telemont,Analista de Gestão da Qualidade PL,2019-05-06,Patricia Johnson,2019,Maio,5,-3.1136405,-59.980473
Prefeitura Municipal de São José dos Campos,Estagiário,2019-05-03,Joseph Conrad,2019,Maio,5,-23.2064576,-45.85700629999999
Petrobras,Químico Analista,2019-05-02,James Hernandez,2019,Maio,5,29.7279912,-95.5555577
CMP Componentes Módulos Plásticos Ind. Com. Oficial,Logística - CMP,2019-05-22,Anthony Anderson,2019,Maio,5,32.4688654,-116.9294254
Inter,Analista de Atração e Seleção,2019-05-23,Renee Mcclain,2019,Maio,5,38.9286942,-94.6565789
Ag Acabamentos e comercio em peças,Operador de mistura,2019-05-22,Alan Baker,2019,Maio,5,-22.9319259,-47.1122867
Allen | Soluções em Tecnologia,Estagiário,2019-05-30,Penny Jones,2019,Maio,5,-22.5114322,-43.1806995
Conbras - Uma empresa do Grupo GPS,Encarregado de manutenção civil ,2019-05-07,Kimberly Cox,2019,Maio,5,-23.5490899,-46.745712
Wave Pub ,Proprietário,2019-06-24,Bruce Foster,2019,Junho,6,43.5905227,-79.63595579999999
Vallourec,Senior Supply Chain Specialist,2019-06-26,Penny Alvarez,2019,Junho,6,29.7444036,-95.56053879999999
fredericus augustus photography,Proprietário,2018-06-19,Megan Smith,2018,Junho,6,-19.9637055,-43.9561824
3 Corações S/A,Engenherio de seguranca do trabalho,2020-06-16,Alexander Mejia,2020,Junho,6,,
IHM stefanini,Assistente de compras,2020-06-29,Shane Reyes,2020,Junho,6,-19.9820199,-43.9743968
Localiza,Assistente Administrativo I - ADMAC,2018-06-19,Paul Gardner,2018,Junho,6,37.6900454,-95.1430326
Lutter Construtora,Estagiário de engenharia,2018-06-19,Donald Byrd,2018,Junho,6,43.1046748,-70.80944029999999
FAM Brasil,Coordenador de suprimentos,2019-06-20,Kyle Potts,2019,Junho,6,40.0886684,-82.9489432
Mimus Sobre Rodas,Proprietária,2018-06-19,Christopher Smith,2018,Junho,6,,
 A precisão segurança patrimonial,Segurança Patrimonial,2020-06-14,Rebecca Goodwin,2020,Junho,6,-19.7514771,-47.943339
Asmam Caldeiras,Técnico mecânico,2019-06-17,Eric Perez,2019,Junho,6,-19.948258,-44.124979
Dimagra Ind. E Com. De Mármores E Granitos Ltda,Assistente administrativo,2019-06-04,Amanda Lewis,2019,Junho,6,-23.5053412,-46.669044
ATS Informática,Executivo de novos negócios,2019-06-07,Kayla Stephens,2019,Junho,6,38.8682133,-76.79135579999999
Macon Transportes - Angola,Superintendente de Operações,2019-06-07,Renee Decker,2019,Junho,6,-8.8810489,13.2670265
Superintendência de Desenvolvimento da Capital - SUDECAP,Engenheira Geotécnica,2019-06-04,Don Barber,2019,Junho,6,-19.9243426,-43.9446002
H2H Executive Search,Senior Managing Partner,2019-06-04,Lynn Jones,2019,Junho,6,48.4233348,-123.5037647
Vallourec Tubos do Brasil S.A.,Estagiário,2018-06-19,Kathleen Rush,2018,Junho,6,-20.207606,-40.32395289999999
sairamgranites,Owner,2019-06-04,Jill Decker,2019,Junho,6,37.6976368,-121.904863
Autônomo,Consultor de vendas,2019-06-04,Amanda Mack,2019,Junho,6,41.961419,-87.71169220000002
Soluções Usiminas,Supervisor de PCP,2019-06-04,Teresa Le,2019,Junho,6,-19.8609195,-43.2269261
FCA Fiat Chrysler Automobiles,Analista de projetos,2020-06-04,Jennifer Adams,2020,Junho,6,42.65513869999999,-83.2305966
ASSEMBLEIA DE DEUS,Coordenador de contabilidade,2020-06-04,Tonya Henderson,2020,Junho,6,28.5334094,-81.4580756
ComMolas,Consultor comercial,2019-06-11,Adam Nelson,2019,Junho,6,-19.932615,-44.02450870000001
SEGULA Technologies,Project Coordinator,2018-06-19,Courtney Hall,2018,Junho,6,41.6780015,-83.6284829
FedEx,Encarregada de Soluções,2018-06-19,Ashley Holland,2018,Junho,6,37.0332175,-95.6397439
Autônomo,Engenheiro mecânico,2018-06-19,Dwayne Andrews,2018,Junho,6,41.961419,-87.71169220000002
Owens Illinois Americas South,Trainee,2015-06-01,Michael Kane,2015,Junho,6,35.7688385,-95.3372809
Duratex,Key Account Deca / Hydra,2015-06-02,Joseph Gregory,2015,Junho,6,26.0689594,-98.29505359999999
D&M Agência - Design e Marketing,CEO  - Art Director and new accounts,2015-06-03,Teresa Christensen,2015,Junho,6,-19.9762722,-43.9731177
Marcolin,Sales Representative in Marcolin Group,2015-06-04,Heather Porter,2015,Junho,6,40.6029534,-74.6873638
Ao Cubo Criativo - Marketing Digital,CEO e Diretor de Criação,2015-06-05,Karen James,2015,Junho,6,20.6516401,-103.3898821
RedZinc,Software Engineer (Remote),2015-06-05,Jennifer Rios,2015,Junho,6,53.34106269999999,-6.2838664
Embraer,Projetista - Estruturas Aeronáuticas,2015-06-07,Emily Koch,2015,Junho,6,26.0810091,-80.1434929
Biomm,Comprador,2015-06-08,Mary Palmer,2015,Junho,6,-19.9326655,-43.9484767
RGL Engenharia ,Técnico em segurança do trabalho,2015-06-09,Nicholas Paul,2015,Junho,6,-19.9280854,-44.0042905
Simatec,Consultor de Vendas,2018-06-19,Elizabeth Koch,2018,Junho,6,35.10390020000001,-80.9591367
AeM Negócios Públicos,Gestor de Negócios,2018-06-19,Deborah Olson,2018,Junho,6,,
TORA,Analista Comercial,2018-06-19,Andrew Goodman,2018,Junho,6,25.9678879,-97.5148226
Simply Tecnologia,Analista de Negócios e Processos Ágeis,2018-06-19,Thomas Holloway,2018,Junho,6,-19.948041,-43.96018
Marph,Publicidade,2018-06-19,Sheri Tran,2018,Junho,6,26.3016827,127.8049672
Pensalab Equipamentos Industriais S.A.,Consultora de vendas,2020-06-13,Sandy Chavez,2020,Junho,6,-23.5336741,-46.6722504
Equipapocos Comercio De Motobombas E Servicos,Adm/Compras,2018-06-19,Brianna Nelson,2018,Junho,6,-19.9750651,-44.1854008
Construtora Você,Auxiliar de Engenharia civil,2018-06-19,Kristen Miller,2018,Junho,6,-19.9460383,-43.9570206
STEP Engenharia,Projetista,2018-06-19,Nicholas Warren,2018,Junho,6,32.462584,-90.154386
Arbitrium Sports,Marketing Director,2018-06-19,Alexis Gillespie,2018,Junho,6,38.7978207,-94.6910209
Vale,Analista de suprimentos,2018-06-19,Michelle Johnson,2018,Junho,6,43.6464489,-79.3796153
Frelance Graphic Designer,Designer,2018-06-19,Kevin Williams,2018,Junho,6,42.3498162,-71.0480394
Promatec Soluções Industriais,Consultor de Engenharia,2020-06-14,Kenneth Kaiser,2020,Junho,6,-29.967039,-51.6258957
ABB Eletrificação,Process Engineer,2020-07-15,Ashley Daniel,2020,Julho,7,41.869933,-72.73650049999999
Empresa de Transportes e Trânsito de Belo Horizonte - BHTRANS S/A,Coordenador de Mobilização Social,2020-07-16,Rebecca Chavez,2020,Julho,7,-19.9132346,-43.94661139999999
Winn-Dixie,Associate,2020-07-15,Jamie Ward,2020,Julho,7,30.4083614,-91.0347366
FEAMIG - Faculdade de Engenharia de Minas Gerais,Professor convidado,2020-07-15,Jeanne Blackburn,2020,Julho,7,-19.9391318,-43.9973472
Extrack ,Fundadora e CEO ,2019-07-18,Lance Trujillo,2019,Julho,7,37.0410854,-100.9045404
Interfile Full Service BPO,Analista de Operações,2020-07-25,Justin Christensen,2020,Julho,7,-23.6164395,-46.7873426
3DFindable,Founder,2020-07-27,Dennis Jones,2020,Julho,7,,
Área de Atuação: Qualidade / Processos / Melhoria Continua ,Engenheira de Produção,2020-07-27,Richard Smith,2020,Julho,7,-12.9812828,-38.4551728
Tecer Liderança Trein Edit E Cons Ltda,Palestrante | Escritora | Mentora de gestores | Engenheira Mecânica | Consultora Organizacional n,2020-07-13,Michael Reyes,2020,Julho,7,-19.9227964,-43.9652085
SegundoSOL Engenharia LTDA,Engenheiro Eletricista Junior,2020-07-28,Robin Clayton,2020,Julho,7,,
SGSGEOSOL LABORATÓRIOS ,Analista laboratório de Fluorescência de Raios-X,2019-07-11,Mary Berry,2019,Julho,7,-19.722057,-43.93046
IMIC - Indústria Mecânica Irmãos Corgozinho Ltda,Comprador pleno,2020-07-18,Michael Terry,2020,Julho,7,-20.0242156,-44.1512908
Komatsu Mining Corp.,Técnico de segurança,2020-07-13,Monica Rodriguez,2020,Julho,7,32.4607292,-94.7337877
Stellantis,Team Leader,2019-07-02,Douglas Saunders,2019,Julho,7,42.2368706,-88.87068909999999
Master Informática,Gerente de Serviços,2020-07-10,Trevor Brown,2020,Julho,7,39.0161525,-94.66516070000002
Sixpro Virtual&Practical Process,Consultor técnico comercial,2019-07-24,Roger Adams,2019,Julho,7,-19.8779115,-43.9066713
Monterre Construtora,Assistente Suprimentos ,2019-07-25,Brandon Ware,2019,Julho,7,-19.9363864,-43.9258369
Sindicato dos Trabalhadores da Indústria de Calçados do Ceará,Jornalista,2019-07-29,Kimberly Stevens,2019,Julho,7,-3.7406789,-38.50883109999999
Prontomec Industrial,Estagiário de Manutenção,2019-07-30,Edward Estrada,2019,Julho,7,-19.9436194,-44.0735424
DHL Supply Chain,Analista de Projetos Logísticos Sênior,2015-07-07,Jack Cain,2015,Julho,7,34.960052,-80.97578419999999
GE Power Conversion,Assistente administrativo,2015-07-08,Andrea Jones,2015,Julho,7,40.71122159999999,-80.1145329
Ligar Design&Mkt,Diretor de marketing,2015-07-09,Jennifer Brown,2015,Julho,7,41.8862222,-87.6489485
Câmara e Valadares Advogados e Associados,Prestadora de serviços jurídicos,2020-07-13,Sheila Blackburn,2020,Julho,7,-23.4267236,-51.9470626
Autonomo,Fotógrafo freelancer,2015-07-21,Jill Harris,2015,Julho,7,41.9759189,-87.712086
MZT Industria mecanica,Programador cnc,2015-07-15,Casey Stokes,2015,Julho,7,-20.0691142,-43.9849448
Racional Engenharia,Assistente de produção,2019-07-11,Kelly Perkins,2019,Julho,7,-23.5926826,-46.6896146
Clínica CEU,Coordenadora de Radiologia,2019-07-05,Daniel Beasley,2019,Julho,7,-19.9289218,-43.92395639999999
Autônomo,Vendedor,2019-07-03,Marvin Simpson,2019,Julho,7,41.961419,-87.71169220000002
Vulcabras Azaleia,Associada I,2020-07-01,Kristen Hudson,2020,Julho,7,-4.1193398,-38.4870705
Via 040,Analista de Planejamento,2020-07-03,Amber Hernandez,2020,Julho,7,-18.7219737,-44.9431208
Marcio Honorio Sociedade de Advogados,Escritório de Advocacia,2020-07-05,Carla Fitzgerald,2020,Julho,7,-19.9229315,-43.9475808
FCA Fiat Chrysler Automobiles,Eletrônico ,2020-07-10,John Hudson,2020,Julho,7,42.65513869999999,-83.2305966
OTUS Consultoria,CEO,2018-08-09,Angela Wyatt,2018,Agosto,8,45.3451652,-75.7097702
Teknisa,Assistente de Compras,2018-08-28,Megan Casey,2018,Agosto,8,-19.9358472,-43.9352257
Teksid,Estagiário de Engenharia ,2020-08-20,Paula Montoya,2020,Agosto,8,26.9423628,-101.4649633
MAXCOR INDUSTRIA DE ETIQUETAS LTDA,Inspetora de Qualidade,2020-08-25,Brittany Sanchez,2020,Agosto,8,-19.9565513,-44.07046039999999
Autonômo,Engenheiro ambiental,2015-08-28,Mark Marquez,2015,Agosto,8,41.9759189,-87.712086
SMS group do Brasil,Analista de contratos,2020-08-20,Anthony Evans,2020,Agosto,8,-19.7766005,-43.9570983
Cemig SIM,Analista de Soluções Energéticas,2020-08-16,Justin Park,2020,Agosto,8,-19.928907,-43.95062859999999
Oncomed Tratamento Médico Integrado,Analista de sistemas pleno,2020-08-16,Erika Mcclain,2020,Agosto,8,-19.92572,-43.953777
CNH Industrial,Compradora,2019-08-06,Taylor Barnes,2019,Agosto,8,42.73032569999999,-87.78731599999999
Vox2you Rede de Escolas de Oratória,Diretor,2020-08-14,Nancy Ballard,2020,Agosto,8,,
Stellantis,Analista III Engenharia Elétrica / Eletrônica,2019-08-01,Zachary Hall,2019,Agosto,8,42.2368706,-88.87068909999999
Herkenhoff & Prates,Analista de dados,2019-08-13,Dustin Martinez,2019,Agosto,8,-19.9325726,-43.92688769999999
VIAESSENCIA,SÓCIO-GERENTE,2019-08-14,Debra James,2019,Agosto,8,-27.5999424,-48.5125423
AEVO,Product,2019-08-20,Christian Ellis,2019,Agosto,8,42.5183543,-71.0437584
RASHEED AHMED & SONS,Proprietor,2019-08-20,Debra Gray,2019,Agosto,8,24.8532419,67.1286282
Tribunal de Justiça do Estado de Minas Gerais,Projetista e orçamentista,2020-08-13,Scott Rogers,2020,Agosto,8,-19.9446328,-43.9224312
ChildFund Brasil - Fundo para Crianças,Coordenador de Mobilização de Recursos,2020-08-13,James Rodriguez,2020,Agosto,8,-19.918708,-43.941055
Hospital do Coração de Alagoas,Assistente financeiro,2019-08-10,Samuel Hale,2019,Agosto,8,-9.620040999999999,-35.737496
AMGS,Analista Financeiro,2020-08-12,Cindy Barnes,2020,Agosto,8,37.3329399,-121.8844882
W1 Consultoria Financeira,Consultora Financeira,2019-08-20,Julie Tate,2019,Agosto,8,,
Comau,Líder técnico de engenharia,2019-08-30,Shawna Bryant,2019,Agosto,8,-19.9586631,-44.0719596
Autônomo,Engenheiro Mecânico,2020-08-04,Misty Erickson,2020,Agosto,8,41.961419,-87.71169220000002
Universidade FUMEC,Professor do Programa de Doutorado e Mestrado em Administração (PDMA),2020-08-06,Victoria Anderson,2020,Agosto,8,-19.9438039,-43.9250232
Grupo SADA,Analista de Suprimentos Pleno,2020-08-09,Omar Owens,2020,Agosto,8,25.4430889,-99.9942245
Grupo SADA,Analista de Suprimentos Jr. CSC,2020-08-09,Christopher Scott,2020,Agosto,8,25.4430889,-99.9942245
Acelera Profissional,Acelerador Empreendedores Solo,2020-08-11,Stacy Kemp,2020,Agosto,8,-2.5426631,-44.21803790000001
Dmb Distribuidora Mineira De Bombas,Gerente comercial,2020-08-19,Gregory Simmons,2020,Agosto,8,-19.999077,-44.0380718
plastubos,Motorista,2020-08-14,Curtis Payne,2020,Agosto,8,-19.7870149,-44.0103126
Prefeitura Municipal de Contagem,Gerente operacional,2020-08-12,Robert Jones,2020,Agosto,8,-19.9192192,-44.0927953
ECM - Projetos Industriais,Engenheiro Trainee - Líder de Projetos,2019-08-10,Christopher Orozco,2019,Agosto,8,-19.9688084,-43.95638080000001
Ânima Educação,Recrutamento e Seleção ,2019-09-10,Lisa Campos,2019,Setembro,9,-23.5517555,-46.5975345
La Cita Eventos e Produções,CEO,2019-09-16,Paula Romero,2019,Setembro,9,,
Montele Elevadores,Assistente operacional,2019-09-19,Julia Johnston,2019,Setembro,9,-19.9218956,-44.046229
PAM - Produtos Auxiliares Metalúrgicos,Plant General Manager,2019-09-20,Shannon Roach,2019,Setembro,9,-20.0626308,-44.2831179
FCA Latam (Fiat Chrysler Automobiles),Analista da Qualidade Jr - CST Chassi LATAM,2019-09-20,Yolanda Reyes,2019,Setembro,9,42.65513869999999,-83.2305966
Accenture Brasil,Analista pleno de contas a pagar,2019-09-20,Tim Moore,2019,Setembro,9,-23.2195211,-45.90423500000001
Alpha Diamond Team,Hunter Founder,2019-09-24,Karen Jimenez,2019,Setembro,9,-19.9367365,-43.9347241
Afya Educacional,Analista Financeiro,2019-09-25,Tyler Mendez,2019,Setembro,9,-19.982578,-43.945581
Prefeitura de Belo Horizonte,Farmacêutico na Gerência de Vigilância Epidemiológica,2019-09-25,Tammy Bautista,2019,Setembro,9,-19.9237641,-43.9363914
Lajes Premold ,Vendedor externo,2019-09-30,Michelle Christensen,2019,Setembro,9,-19.7868769,-43.9228992
Seguranca Engenharia Ltda,Auxiliar administrativo,2019-09-10,Amber Manning,2019,Setembro,9,-19.9227114,-43.9580568
Localiza,Gerente de Recrutamento e Seleção Nacional,2019-09-06,Eric Edwards,2019,Setembro,9,37.6900454,-95.1430326
NEUMAN & ESSER Brasil,Compressor Application Technician,2019-09-16,William Porter,2019,Setembro,9,-19.9871153,-43.966218
Horizonte Minerals Plc,Estagiário,2019-09-05,Angela Jones,2019,Setembro,9,40.8947334,-73.9425538
